"team_roster_id","team_id","valid_from","valid_until","player_id","player_name","nickname","team_main_color","team_secondary_color","position_type_id","position_id","tournament","gameday_from_timestamp","gameday_from_timestamp-2","gamephase_from_timestamp","gamephase_from_timestamp-2"
37281,"eb67ae5e-c4bf-46ca-bbbc-425cd34182ff","2020-10-16 20:00:00.495363","2021-03-14 18:01:10.450009","b629cb7a-414b-4695-a115-7528ab700346","Shirai McElroy","Moist Talkers","#f5feff","#f5feff",3,3,-1,"(9,98)","(12,115)","(9,,,END_REGULAR_SEASON)","(12,,,POSTSEASON_END)"
38179,"46358869-dce9-4a01-bfba-ac24fc56f57e","2021-03-14 18:01:10.450009","2021-04-11 18:16:10.94717","b629cb7a-414b-4695-a115-7528ab700346","Shirai McElroy","Mechanics","#d13100","#ff5b29",1,2,-1,"(12,115)","(-1,113)","(12,,,POSTSEASON_END)","(-1,,,ELECTIONS)"
38496,"46358869-dce9-4a01-bfba-ac24fc56f57e","2021-04-11 18:16:10.94717","2021-04-25 18:01:12.410797","b629cb7a-414b-4695-a115-7528ab700346","Shirai McElroy","Mechanics","#d13100","#ff5b29",1,1,-1,"(-1,113)","(16,113)","(-1,,,ELECTIONS)","(16,,,POSTSEASON_END)"
39126,"46358869-dce9-4a01-bfba-ac24fc56f57e","2021-04-25 18:01:12.410797",NULL,"b629cb7a-414b-4695-a115-7528ab700346","Shirai McElroy","Mechanics","#d13100","#ff5b29",1,0,-1,"(16,113)","(0,0)","(16,,,POSTSEASON_END)",NULL
38146,"46358869-dce9-4a01-bfba-ac24fc56f57e","2021-03-12 00:22:09.274884","2021-03-14 18:01:10.450009","b643a520-af38-42e3-8f7b-f660e52facc9","Adelaide Judochop","Mechanics","#d13100","#ff5b29",0,8,-1,"(12,78)","(12,115)","(12,,78,LATESEASON)","(12,,,POSTSEASON_END)"
38177,"46358869-dce9-4a01-bfba-ac24fc56f57e","2021-03-14 18:01:10.450009","2021-04-21 13:28:07.107266","b643a520-af38-42e3-8f7b-f660e52facc9","Adelaide Judochop","Mechanics","#d13100","#ff5b29",0,7,-1,"(12,115)","(16,45)","(12,,,POSTSEASON_END)","(16,,45,MIDSEASON)"
38997,"46358869-dce9-4a01-bfba-ac24fc56f57e","2021-04-21 13:28:07.107266","2021-04-21 13:36:53.329176","b643a520-af38-42e3-8f7b-f660e52facc9","Adelaide Judochop","Mechanics","#d13100","#ff5b29",0,6,-1,"(16,45)","(16,45)","(16,,45,MIDSEASON)","(16,,45,MIDSEASON)"
39007,"46358869-dce9-4a01-bfba-ac24fc56f57e","2021-04-21 13:36:53.329176",NULL,"b643a520-af38-42e3-8f7b-f660e52facc9","Adelaide Judochop","Mechanics","#d13100","#ff5b29",0,7,-1,"(16,45)","(0,0)","(16,,45,MIDSEASON)",NULL
36771,"f02aeae2-5e6a-4098-9842-02d2273f25c7","2020-07-29 08:12:22.438",NULL,"b69aa26f-71f7-4e17-bc36-49c875872cc1","Francisca Burton","Sunbeams","#fffbab","#fffbab",2,7,-1,"(1,27)","(0,0)","(1,,27,GAMEDAY)",NULL
36436,"7966eb04-efcc-499b-8f03-d13916330531","2020-07-29 08:12:22.438","2021-04-18 18:01:13.702149","b6aa8ce8-2587-4627-83c1-2a48d44afaee","Inky Rutledge","Magic","#bf0043","#f60f63",1,2,-1,"(1,27)","(15,116)","(1,,27,GAMEDAY)","(15,,,POSTSEASON_END)"
38849,"7966eb04-efcc-499b-8f03-d13916330531","2021-04-18 18:01:13.702149","2021-04-22 23:08:42.465924","b6aa8ce8-2587-4627-83c1-2a48d44afaee","Inky Rutledge","Magic","#bf0043","#f60f63",1,1,-1,"(15,116)","(16,78)","(15,,,POSTSEASON_END)","(16,,78,LATESEASON)"
39044,"bfd38797-8404-4b38-8b82-341da28b1f83","2021-04-22 23:08:42.465924","2021-04-23 12:09:16.854516","b6aa8ce8-2587-4627-83c1-2a48d44afaee","Inky Rutledge","Shoe Thieves","#ffce0a","#ffce0a",1,0,-1,"(16,78)","(16,91)","(16,,78,LATESEASON)","(16,,91,LATESEASON)"
39066,"bfd38797-8404-4b38-8b82-341da28b1f83","2021-04-23 12:09:16.854516","2021-04-25 18:01:12.410797","b6aa8ce8-2587-4627-83c1-2a48d44afaee","Inky Rutledge","Shoe Thieves","#ffce0a","#ffce0a",1,4,-1,"(16,91)","(16,113)","(16,,91,LATESEASON)","(16,,,POSTSEASON_END)"
39208,"c73b705c-40ad-4633-a6ed-d357ee2e2bcf","2021-04-25 18:01:12.410797",NULL,"b6aa8ce8-2587-4627-83c1-2a48d44afaee","Inky Rutledge","Lift","#e830ab","#e830ab",1,3,-1,"(16,113)","(0,0)","(16,,,POSTSEASON_END)",NULL
36378,"57ec08cc-0411-4643-b304-0e80dbc15ac7","2020-07-29 08:12:22.438","2020-10-05 22:04:46.228","b7267aba-6114-4d53-a519-bf6c99f4e3a9","Sosa Hayes","Wild Wings","#d15700","#ee6300",0,3,-1,"(1,27)","(8,6)","(1,,27,GAMEDAY)","(8,,6,GAMEDAY)"
37168,"9debc64f-74b7-4ae1-a4d6-fce0144b6ea5","2020-10-05 22:04:46.228","2020-10-07 19:22:14.593","b7267aba-6114-4d53-a519-bf6c99f4e3a9","Sosa Hayes","Spies","#67556b","#9e82a4",0,8,-1,"(8,6)","(8,51)","(8,,6,GAMEDAY)","(8,,51,GAMEDAY)"
37188,"9debc64f-74b7-4ae1-a4d6-fce0144b6ea5","2020-10-07 19:22:14.593","2021-04-25 18:01:12.410797","b7267aba-6114-4d53-a519-bf6c99f4e3a9","Sosa Hayes","Spies","#67556b","#9e82a4",1,1,-1,"(8,51)","(16,113)","(8,,51,GAMEDAY)","(16,,,POSTSEASON_END)"
